Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investments And Advances,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Inventory,Finished Goods,Raw Materials,Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Symbol,Capital Lease Obligations,Minority Interest,Derivative Product Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Capital Lease Obligation,Long Term Provisions,Other Current Liabilities,Other Current Borrowings,Total Tax Payable,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Financial Assets,Construction In Progress,Other Properties,Hedging Assets Current,Other Inventories,Work In Process,Other Receivables,Treasury Shares Number,Current Capital Lease Obligation,Other Short Term Investments,Cash Financial,Treasury Stock,Non Current Deferred Taxes Liabilities,Receivables Adjustments Allowances,Commercial Paper,Investmentin Financial Assets,Available For Sale Securities,Leases,Cash Equivalents,Dividends Payable,Other Payable,Income Tax Payable,Other Investments,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Preferred Shares Number,Preferred Stock Equity,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Prepaid Assets,Liabilities Heldfor Sale Non Current,Investmentsin Joint Venturesat Cost,Assets Held For Sale Current,Taxes Receivable,Other Equity Interest,Current Provisions,Interest Payable,Non Current Note Receivables,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investmentsin Associatesat Cost,Preferred Securities Outside Stock Equity,Line Of Credit,Current Notes Payable,Notes Receivable,Loans Receivable,Foreign Currency Translation Adjustments,Minimum Pension Liabilities,Unrealized Gain Loss,Held To Maturity Securities,Investment Properties,Duefrom Related Parties Current,Current Deferred Assets,Dueto Related Parties Current,Inventories Adjustments Allowances,Non Current Accrued Expenses,Accrued Interest Receivable,Trading Securities,Investmentsin Subsidiariesat Cost,Total Partnership Capital,Limited Partnership Capital,Dueto Related Parties Non Current,Duefrom Related Parties Non Current,Fixed Assets Revaluation Reserve,Current Deferred Taxes Liabilities,Current Deferred Taxes Assets,General Partnership Capital
654273192.0,654273192.0,32324000000.0,40663000000.0,-11344000000.0,27700000000.0,-8490000000.0,-11344000000.0,-5202000000.0,24068000000.0,-5202000000.0,-5202000000.0,-4894000000.0,-4894000000.0,-7689000000.0,7374000000.0,7000000.0,7000000.0,,68260000000.0,46198000000.0,1558000000.0,3044000000.0,3044000000.0,35722000000.0,29270000000.0,22062000000.0,9653000000.0,9653000000.0,4941000000.0,3632000000.0,,7468000000.0,5115000000.0,2353000000.0,2353000000.0,63058000000.0,49486000000.0,1753000000.0,,6142000000.0,2051000000.0,4091000000.0,38703000000.0,-22097000000.0,60800000000.0,,,10307000000.0,,13572000000.0,658000000.0,910000000.0,2400000000.0,,,2026000000.0,2026000000.0,7578000000.0,578000000.0,AAL,7761000000.0,,,,5874000000.0,5874000000.0,6452000000.0,,,3632000000.0,,,,2888000000.0,2888000000.0,,,760000000.0,,,,,,0.0,1309000000.0,7000000000.0,578000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653504063.0,653504063.0,32912000000.0,41205000000.0,-11280000000.0,28353000000.0,-7672000000.0,-11280000000.0,-5136000000.0,24586000000.0,-5136000000.0,-5136000000.0,-4788000000.0,-4788000000.0,-7708000000.0,7353000000.0,7000000.0,7000000.0,,70847000000.0,46467000000.0,1653000000.0,2929000000.0,2929000000.0,36051000000.0,29722000000.0,24380000000.0,11164000000.0,11164000000.0,5154000000.0,3767000000.0,,8062000000.0,5939000000.0,2123000000.0,2123000000.0,65711000000.0,49003000000.0,1788000000.0,,6144000000.0,2053000000.0,4091000000.0,38196000000.0,-21571000000.0,59767000000.0,,,10156000000.0,,16708000000.0,719000000.0,925000000.0,2461000000.0,,,2021000000.0,2021000000.0,10582000000.0,577000000.0,AAL,7716000000.0,,,,5834000000.0,5834000000.0,6329000000.0,,,3767000000.0,,,,2875000000.0,2875000000.0,,,799000000.0,7878000000.0,,,,,,1387000000.0,10005000000.0,577000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653286761.0,653286761.0,34032000000.0,42583000000.0,-10531000000.0,30261000000.0,-6096000000.0,-10531000000.0,-4385000000.0,26387000000.0,-4385000000.0,-4385000000.0,-4550000000.0,-4550000000.0,-7163000000.0,7321000000.0,7000000.0,7000000.0,,71645000000.0,47329000000.0,1473000000.0,2694000000.0,2694000000.0,37278000000.0,30772000000.0,24316000000.0,12022000000.0,12022000000.0,5305000000.0,3874000000.0,,6989000000.0,4583000000.0,2406000000.0,2406000000.0,67260000000.0,49040000000.0,1887000000.0,,6146000000.0,2055000000.0,4091000000.0,38347000000.0,-21062000000.0,59409000000.0,,,9996000000.0,,18220000000.0,822000000.0,984000000.0,2280000000.0,,,2073000000.0,2073000000.0,12061000000.0,614000000.0,AAL,7937000000.0,,,,5884000000.0,5884000000.0,6506000000.0,,,3874000000.0,,,,2660000000.0,2660000000.0,,,767000000.0,8076000000.0,,,,,,1431000000.0,11447000000.0,614000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652817674.0,652817674.0,34713000000.0,42929000000.0,-11919000000.0,29394000000.0,-6938000000.0,-11919000000.0,-5771000000.0,25815000000.0,-5771000000.0,-5771000000.0,-4567000000.0,-4567000000.0,-8501000000.0,7290000000.0,7000000.0,7000000.0,,72557000000.0,47967000000.0,1438000000.0,2737000000.0,2737000000.0,37911000000.0,31586000000.0,24590000000.0,12539000000.0,12539000000.0,5018000000.0,3579000000.0,,7033000000.0,4578000000.0,2455000000.0,2455000000.0,66786000000.0,49134000000.0,1916000000.0,,6148000000.0,2057000000.0,4091000000.0,37982000000.0,-20546000000.0,58528000000.0,,,10030000000.0,,17652000000.0,907000000.0,955000000.0,2308000000.0,,,1989000000.0,1989000000.0,11493000000.0,452000000.0,AAL,7764000000.0,,,,5881000000.0,5881000000.0,6325000000.0,,,3579000000.0,,,,3088000000.0,3088000000.0,,,640000000.0,7838000000.0,,,,,,1439000000.0,11041000000.0,452000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59512000.0,77349000.0,1282890000.0,4002127000.0,934644000.0,4306089000.0,1069616000.0,934644000.0,2519728000.0,4306089000.0,2519728000.0,2519728000.0,-52232000.0,-52232000.0,4559139000.0,946099000.0,8000.0,8000.0,0.0,9756598000.0,4449193000.0,84524000.0,,,4002127000.0,1786361000.0,5307405000.0,,,,,74536000.0,4774675000.0,477910000.0,4296765000.0,4177974000.0,12276326000.0,5899305000.0,86899000.0,,1585084000.0,593341000.0,991743000.0,4227322000.0,-2857726000.0,7085048000.0,2577582000.0,1344088000.0,470890000.0,0.0,6377021000.0,215707000.0,,4857702000.0,,,800141000.0,816800000.0,503471000.0,503471000.0,AAP,2215766000.0,,,,362542000.0,,2215766000.0,,458194000.0,,118791000.0,,,,,,,113712000.0,2578776000.0,,,,10930000.0,17837000.0,,,,2933286000.0,362542000.0,-27589000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59482000.0,59482000.0,1468189000.0,3995616000.0,1058235000.0,4432585000.0,1184525000.0,1058235000.0,2646868000.0,4432585000.0,2646868000.0,2646868000.0,-47599000.0,-47599000.0,4690424000.0,937040000.0,8000.0,8000.0,0.0,9602064000.0,4466125000.0,87669000.0,,,3995616000.0,1785717000.0,5135939000.0,,,,,,4657336000.0,714317000.0,3943019000.0,3943019000.0,12248932000.0,5928468000.0,75809000.0,,1588633000.0,598699000.0,989934000.0,4264026000.0,-2797496000.0,7061522000.0,,,,,6320464000.0,185249000.0,,4949382000.0,,,868305000.0,870435000.0,317528000.0,317528000.0,AAP,2209899000.0,,,,382840000.0,,2209899000.0,,478603000.0,,,,,,,,,,7061522000.0,,,,14762000.0,,,,,2933005000.0,382840000.0,-16892000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59433703.0,59433703.0,1603010000.0,4130068000.0,1124866000.0,4603261000.0,1300094000.0,1124866000.0,2723187000.0,4508261000.0,2723187000.0,2723187000.0,-36824000.0,-36824000.0,4767168000.0,925411000.0,8000.0,8000.0,0.0,9581189000.0,4554811000.0,87063000.0,,,4035068000.0,1785074000.0,5026378000.0,,,95000000.0,95000000.0,,4465406000.0,685191000.0,3780215000.0,3780215000.0,12304376000.0,5977904000.0,71870000.0,,1598321000.0,606450000.0,991871000.0,4307713000.0,-2735674000.0,7043387000.0,,,,,6326472000.0,188169000.0,,5067467000.0,,,793772000.0,797959000.0,277064000.0,277064000.0,AAP,2249994000.0,,,,432680000.0,,2249994000.0,,465972000.0,95000000.0,,,,,,,,,7043387000.0,,,,13904000.0,,,,,2932576000.0,432680000.0,-18091000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59444000.0,59444000.0,1674097000.0,4169876000.0,1033484000.0,4536757000.0,1218237000.0,1033484000.0,2636161000.0,4420757000.0,2636161000.0,2636161000.0,-44355000.0,-44355000.0,4697697000.0,914184000.0,8000.0,8000.0,0.0,9546077000.0,4562622000.0,85762000.0,,,4053876000.0,1784596000.0,4983455000.0,,,116000000.0,116000000.0,,4401039000.0,718290000.0,3682749000.0,3682749000.0,12182238000.0,5980546000.0,54633000.0,,1602677000.0,612104000.0,990573000.0,4323236000.0,-2672665000.0,6995901000.0,,,,,6201692000.0,177127000.0,,5015973000.0,,,782093000.0,790677000.0,226499000.0,226499000.0,AAP,2269280000.0,,,,422984000.0,,2269280000.0,,466416000.0,116000000.0,,,,,,,,,6995901000.0,,,,9465000.0,,,,,2931373000.0,422984000.0,-18049000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59433703.0,59433703.0,1674097000.0,4169876000.0,1033484000.0,4536757000.0,1218237000.0,1033484000.0,2636161000.0,4420757000.0,2636161000.0,2636161000.0,-44355000.0,-44355000.0,4697697000.0,914184000.0,8000.0,8000.0,0.0,9546077000.0,4562622000.0,85762000.0,,,4053876000.0,1784596000.0,4983455000.0,,,116000000.0,116000000.0,,4401039000.0,718290000.0,3682749000.0,3682749000.0,12182238000.0,5980546000.0,54633000.0,,1602677000.0,612104000.0,990573000.0,4323236000.0,-2672665000.0,6995901000.0,,,,,6201692000.0,177127000.0,,5015973000.0,,,782093000.0,790677000.0,226499000.0,226499000.0,AAP,2269280000.0,,,,422984000.0,,2269280000.0,,466416000.0,116000000.0,,,,,,,,,6995901000.0,,,,9465000.0,,,,,2931373000.0,422984000.0,-18049000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15337686000.0,15337686000.0,71895000000.0,104590000000.0,74194000000.0,178784000000.0,4594000000.0,74194000000.0,74194000000.0,166025000000.0,74194000000.0,74194000000.0,-8960000000.0,-8960000000.0,4339000000.0,,78815000000.0,78815000000.0,,263217000000.0,139395000000.0,47564000000.0,,,91831000000.0,91831000000.0,123822000000.0,8012000000.0,8012000000.0,12759000000.0,12759000000.0,,45753000000.0,,45753000000.0,45753000000.0,337411000000.0,208995000000.0,70262000000.0,95187000000.0,,,,43546000000.0,-71697000000.0,115243000000.0,,,,,128416000000.0,13884000000.0,,6232000000.0,,,41150000000.0,21837000000.0,67150000000.0,32695000000.0,AAPL,,,,,,,,,57298000000.0,10762000000.0,,,,,,,,,,,,,19313000000.0,,,34455000000.0,28227000000.0,,,,1997000000.0,95187000000.0,95187000000.0,,4468000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
