Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Symbol,Total Unusual Items,Total Unusual Items Excluding Goodwill,Minority Interests,Special Income Charges,Gain On Sale Of Ppe,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Rent Expense Supplemental,Average Dilution Earnings,Other Special Charges,Impairment Of Capital Assets,Selling And Marketing Expense,Otherunder Preferred Stock Dividend,Amortization,Amortization Of Intangibles Income Statement,Preferred Stock Dividends,Earnings From Equity Interest Net Of Tax,General And Administrative Expense,Other Gand A,Net Income Discontinuous Operations,Gain On Sale Of Business,Write Off,Salaries And Wages,Total Other Finance Cost,Other Taxes,Provision For Doubtful Accounts,Depreciation Income Statement,Insurance And Claims,Rent And Landing Fees,Excise Taxes,Depletion Income Statement,Securities Amortization
-1890000.0,0.21,560000000.0,19000000.0,,10436000000.0,551000000.0,551000000.0,-384000000.0,519000000.0,135000000.0,26110000.0,19000000.0,12397000000.0,656000000.0,657079000.0,654725000.0,0.03,0.03,-14000000.0,19000000.0,19000000.0,19000000.0,19000000.0,13000000.0,32000000.0,-249000000.0,-240000000.0,-384000000.0,519000000.0,135000000.0,665000000.0,1961000000.0,,442000000.0,2626000000.0,10436000000.0,13062000000.0,12209000000.0,AAL,-9000000.0,-9000000.0,,-9000000.0,,2000000.0,,,1519000000.0,,,1052000000.0,,7000000.0,0.0,442000000.0,,,,,,,,,,,,,,,,,,,,
-199427536.231884,0.210145,796000000.0,-545000000.0,,10795000000.0,-153000000.0,-153000000.0,-369000000.0,537000000.0,168000000.0,204572463.768116,-545000000.0,12756000000.0,-223000000.0,654119000.0,654119000.0,-0.83,-0.83,-545000000.0,-545000000.0,-545000000.0,-545000000.0,-545000000.0,-145000000.0,-690000000.0,-1047000000.0,-98000000.0,-369000000.0,537000000.0,168000000.0,726000000.0,1961000000.0,,430000000.0,2687000000.0,10795000000.0,13482000000.0,12614000000.0,AAL,-949000000.0,-949000000.0,,-949000000.0,,0.0,,,1531000000.0,,,1087000000.0,0.0,949000000.0,0.0,430000000.0,,,,,,,,,,,,,,,,,,,,
0.0,0.241066,2311000000.0,1338000000.0,,9908000000.0,2311000000.0,2311000000.0,-386000000.0,548000000.0,162000000.0,1338000000.0,1338000000.0,11892000000.0,2163000000.0,719345000.0,653602000.0,1.88,2.05,1338000000.0,1338000000.0,1338000000.0,1338000000.0,1338000000.0,425000000.0,1763000000.0,-14000000.0,-14000000.0,-386000000.0,548000000.0,162000000.0,2163000000.0,1984000000.0,,489000000.0,4147000000.0,9908000000.0,14055000000.0,13175000000.0,AAL,,,,,,,,,1495000000.0,,,1106000000.0,,,,489000000.0,,,,,,,,,,,,,,,,,,,,
-2730000.0,0.21,570000000.0,10000000.0,,9840000000.0,557000000.0,557000000.0,-415000000.0,540000000.0,125000000.0,20270000.0,10000000.0,11738000000.0,438000000.0,656707000.0,652000000.0,0.02,0.02,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,7000000.0,17000000.0,-19000000.0,-6000000.0,-415000000.0,540000000.0,125000000.0,451000000.0,1898000000.0,,438000000.0,2349000000.0,9840000000.0,12189000000.0,11326000000.0,AAL,-13000000.0,-13000000.0,,-13000000.0,,21000000.0,,,1460000000.0,,,1052000000.0,,-8000000.0,0.0,438000000.0,,,,,,,,,,,,,,,,,,,,
0.0,0.349683,-3507000.0,-60510000.0,71478000.0,1543905000.0,-3507000.0,-74985000.0,-18062000.0,18062000.0,,-60510000.0,-60510000.0,2545585000.0,-80716000.0,59675000.0,59504000.0,-0.59,-0.59,-60510000.0,-60510000.0,-60510000.0,-60510000.0,-60510000.0,-32537000.0,-93047000.0,5731000.0,5731000.0,-18062000.0,18062000.0,,-80716000.0,1001680000.0,,1001680000.0,920964000.0,1543905000.0,2464869000.0,2464869000.0,AAP,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.244,27090000.0,-48633000.0,72002000.0,1732420000.0,27090000.0,-44912000.0,-19407000.0,19407000.0,,-48633000.0,-48633000.0,2762775000.0,-43696000.0,59630000.0,59474000.0,-0.82,-0.82,-48633000.0,-48633000.0,-48633000.0,-48633000.0,-48633000.0,-15686000.0,-64319000.0,-1216000.0,-1216000.0,-19407000.0,19407000.0,,-43696000.0,1030355000.0,,1030355000.0,986659000.0,1732420000.0,2719079000.0,2719079000.0,AAP,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.259,206472000.0,85362000.0,70420000.0,1537997000.0,206472000.0,136052000.0,-20869000.0,20869000.0,,85362000.0,85362000.0,2551698000.0,134368000.0,59604000.0,59604000.0,1.43,1.44,85362000.0,85362000.0,85362000.0,85362000.0,85362000.0,29821000.0,115183000.0,1684000.0,1684000.0,-20869000.0,20869000.0,,134368000.0,1013701000.0,,1013701000.0,1148069000.0,1537997000.0,2686066000.0,2686066000.0,AAP,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.284,181879000.0,42651000.0,92554000.0,1946931000.0,181879000.0,89325000.0,-29718000.0,29718000.0,,42651000.0,42651000.0,3327595000.0,89999000.0,59544000.0,59334000.0,0.72,0.72,42651000.0,42651000.0,42651000.0,42651000.0,42651000.0,16956000.0,59607000.0,-674000.0,-674000.0,-29718000.0,29718000.0,,89999000.0,1380664000.0,,1380664000.0,1470663000.0,1946931000.0,3417594000.0,3417594000.0,AAP,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.158,30736000000.0,23636000000.0,2836000000.0,48482000000.0,30736000000.0,27900000000.0,,,,23636000000.0,23636000000.0,62853000000.0,27900000000.0,15464709000.0,15405856000.0,1.53,1.53,23636000000.0,23636000000.0,23636000000.0,23636000000.0,23636000000.0,4422000000.0,28058000000.0,158000000.0,158000000.0,,,,27900000000.0,14371000000.0,7903000000.0,6468000000.0,42271000000.0,48482000000.0,90753000000.0,90753000000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.159,43221000000.0,33916000000.0,2848000000.0,64720000000.0,43221000000.0,40373000000.0,,,,33916000000.0,33916000000.0,79202000000.0,40373000000.0,15576641000.0,15509763000.0,2.18,2.19,33916000000.0,33916000000.0,33916000000.0,33916000000.0,33916000000.0,6407000000.0,40323000000.0,-50000000.0,-50000000.0,,,,40373000000.0,14482000000.0,7696000000.0,6786000000.0,54855000000.0,64720000000.0,119575000000.0,119575000000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
